"id";"cesky";"anglicky";"nemecky";"kategorie"
1;hodně, moc;a lot;viel;Příslovce
2;hodně;a lot of;sehr;Příslovce
3;odvoz;a removal;der Abtransport;Podstatné jméno
4;řada různých;various;verschieden;Přídavné jméno
5;opustit;to leave [left, left];verläsen [verlassen (ist), verließ];Sloveso
6;schopnost;an ability;die Fähigkeit;Podstatné jméno
7;chystá se, chystáš se;is getting ready/are getting ready;bere sich vor / wird sich vorbereiten;Sloveso
8;břišní svaly;abs;die Bauchmuskeln;Podstatné jméno
9;nepřítomný;absent;abwesend;Přídavné jméno
10;naprosto;absolutely;absolut;Příslovce
11;přijmout, akceptovat;to accept;annehmen [angenommen (ist), nahm];Sloveso
12;nehoda;an accident;der Unfall;Podstatné jméno
13;nedopatřením;accidentally;versehentlich;Příslovce
14;dokázat;to prove [proved, proved];beweisen [bewiesen (hat), bewies, wird bewiesen];Sloveso
15;úspěch;a success;der Erfolg;Podstatné jméno
16;účetní;an accountant;der Buchhalter;Podstatné jméno
17;obvinit;to accuse [accused, accused];anklagen [angeklagt (worden), anklagte, wird angeklagt];Sloveso
18;bolest;a pain;die Schmerzen;Podstatné jméno
19;dokázat, dosáhnout;to achieve;erzielen;Sloveso
20;úspěch;a success;der Erfolg;Podstatné jméno
21;akční;action;aktionsreich;Přídavné jméno
22;herec;an actor;der Schauspieler;Podstatné jméno
23;herečka;an actress;die Schauspielerin;Podstatné jméno
24;ve skutečnosti;actually;tatsächlich;Příslovce
25;reklama;an ad;die Werbung;Podstatné jméno
26;přidat, dodat;to add;hinzufügen  [hinzugefügt (hat)];Sloveso
27;zvyknout, upravit;to adjust;sich anpassen [angepasst, passte an, wird anpassen];Sloveso
28;obdivuhodný;admirable;erwähnenswert;Přídavné jméno
29;obdivovat;to admire;bewundern [bewundert, bewunderte, wird bewundert];Sloveso
30;přiznání, vstupné, přijetí;admission;die Aufnahme;Podstatné jméno
31;přiznat se, uznat;to admit;sich eingestehen  [eingestanden, gestand, wird eingestanden];Sloveso
32;rozkošný;delightful;lieblich;Přídavné jméno
33;pokročilý;advanced;fortgeschritten;Přídavné jméno
34;výhoda, přednost;an advantage;die Vorteile;Podstatné jméno
35;dobrodružný;adventurous;abenteuerlich;Přídavné jméno
36;reklama;an advertisement;die Werbung;Podstatné jméno
37;rada;a council;die Rada;Podstatné jméno
38;poměr;a ratio;das Verhältnis;Podstatné jméno
39;dovolit si;to allow oneself;sich erlauben;Sloveso
40;cenově dostupný;affordable;preiswert;Přídavné jméno
41;bát se;to be afraid;fürchten [gefurcht (ist), fürchtete];Sloveso
42;koneckonců;after all;letztendlich;Spojka
43;věk;an age;das Jahrhundert;Podstatné jméno
44;před;before;vor;Předložka
45;dohoda;an agreement;die Vereinbarung;Podstatné jméno
46;zemědělství;agriculture;die Landwirtschaft;Podstatné jméno
47;před, dopředu;ahead;vorwärts;Příslovce
48;klimatizace;air conditioning;die Klimaanlage;Podstatné jméno
49;letadlo;an airplane;das Flugzeug;Podstatné jméno
50;ulička;a lane;die Gasse;Podstatné jméno
51;alkohol;alcohol;der Alkohol;Podstatné jméno
52;alkoholický;alcoholic;alkoholisch;Přídavné jméno
53;mimozemšťan, mimozemský;"";"Podstatné jméno|an alien|der Außerirdische ;""
Přídavné jméno|extraterrestrial|außerirdisch"
54;naživu, živý;alive;lebendig;Přídavné jméno
55;všichni, všechno;all;alles;Zájmeno
56;celý den;all day;denlang;Fráze
57;v pořádku;all right;in Ordnung;Fráze
58;alergie;an allergy;die Allergie;Podstatné jméno
59;dovolit, povolit;to allow;erlauben [erlaubt (ist), erlaubte];Sloveso
60;kapesné;pocket money;das Taschengeld;Podstatné jméno
61;jiná možnost, alternativa;an alternative;die Alternative;Podstatné jméno
62;ohromený;amazed;beeindruckt;Přídavné jméno
63;úžasný;amazing;wunderbar;Přídavné jméno
64;ambiciózní;ambitious;ambitioniert;Přídavné jméno
65;množství;an amount;die Menge;Podstatné jméno
66;starověký, pradávný, starodávný;ancient;altmodisch;Přídavné jméno
67;anděl;an angel;der Engel;Podstatné jméno
68;naštvaný;angry;wütend;Přídavné jméno
69;animace;animation;die Animation;Podstatné jméno
70;kotník;an ankle;der Knöchel;Podstatné jméno
71;štvát, obtěžovat, otravovat;to annoy;ärgern [geärgert (hat), ärgerte];Sloveso
72;naštvaný;annoyed;verärgert;Přídavné jméno
73;otravný, nepříjemný;poisonous, unpleasant;giftig, unangenehm;Přídavné jméno
74;každoroční, výroční;annual;jährliche;Přídavné jméno
75;odpovědět, odpověď;"";"Sloveso|to answer | antworten [geantwortet, antwortete] ;""
Podstatné jméno|an answer|die Antwort"
76;mravenec;an ant;die Ameise;Podstatné jméno
77;starožitný;antique;antik;Přídavné jméno
78;úzkost;anxiety;die Angst;Podstatné jméno
79;bytový dům;an apartment building;das Wohnhaus;Podstatné jméno
80;omluvit;to apologize;sich entschuldigen [entschuldigt, entschuldigte sich, wird sich entschuldigen];Sloveso
81;omluva;an apology;die Entschuldigung;Podstatné jméno
82;zdát se, objevit se;to appear;erscheinen [erschien, erschien, wird erscheinen];Sloveso
83;spotřebič;an appliance;das Gerät;Podstatné jméno
84;vážit si, oceňovat;to appreciate;schätzen [geschätzt (ist), schätzte];Sloveso
85;uznání;an acknowledgment;die Anerkennung;Podstatné jméno
86;arabština;Arabic;die Arabisch;Podstatné jméno
87;architekt;an architect;der Architekt;Podstatné jméno
88;oblast;an area;die Region;Podstatné jméno
89;hádat se, diskutovat, argumentovat;to argue;streiten [gestreitet (ist), stritt];Sloveso
90;hádka;an argument;die Auseinandersetzung;Podstatné jméno
91;armáda, vojsko;an army;die Armee;Podstatné jméno
92;uspořádat;to arrange;organisieren [organisiert, organisierte, wird organisiert];Sloveso
93;zatknout, zatýkat;to arrest;festnehmen [festgenommen (wurde), festhielt, wird festgenommen];Sloveso
94;příjezd;an arrival;die Ankunft;Podstatné jméno
95;článek;an article;der Artikel;Podstatné jméno
96;umělec;an artist;der Künstler;Podstatné jméno
97;jakmile;as soon as;Sobald;Spojka
98;jako obvykle;as usual;normalerweise;Fráze
99;zeptat se;to ask;fragen [gefragt, fragte, wird gefragt];Sloveso
100;žádat o;ask for;um;Předložka
101;spící;sleeping;schlafend;Přídavné jméno
102;aspirin;aspirin;das Aspirin;Podstatné jméno
103;předpokládat, domnívat se;to assume;annehmen [angenommen (hat), annahm, wird angenommen];Sloveso
104;atmosféra;the atmosphere;die Atmosphäre;Podstatné jméno
105;útok, napadení;an attack;der Angriff;Podstatné jméno
106;pokus;an attempt;ein Versuch;Podstatné jméno
107;zúčastnit, navštěvovat;to attend;besuchen [besucht, besuchte, wird besuchen];Sloveso
108;postoj, přístup;an attitude;die Haltung;Podstatné jméno
109;konkurz;a competition;der Wettbewerb;Podstatné jméno
110;autor;an author;der Autor;Podstatné jméno
111;autogram;an autograph;das Autogramm;Podstatné jméno
112;průměrný;average;der durchschnittliche;Přídavné jméno
113;vyhýbat se, vyhnout;to avoid [avoided, avoided];vermeiden [vermieden, vermied];Sloveso
114;ocenění;an assessment;die Bewertung;Podstatné jméno
115;vědomý;aware;bewusst;Přídavné jméno
116;úžasný, úchvatný;amazing;fantastisch;Přídavné jméno
117;trapný;awkward;peinlich;Přídavné jméno
118;miminko;a baby;das Baby;Podstatné jméno
119;hlídat dítě;to watch over a child;auf ein Kind aufpassen;Fráze
120;chůva;a babysitter;die Babysitterin;Podstatné jméno
121;slanina;bacon;das Speck;Podstatné jméno
122;smůla;bad luck;das Pech;Podstatné jméno
123;péct;to bake [baked, baked];backen [gebacken (ist), backte];Sloveso
124;balkón;a balcony;der Balkon;Podstatné jméno
125;plešatý;bald;kahl;Přídavné jméno
126;balet;a ballet;das Ballett;Podstatné jméno
127;balónek;a balloon;der Ballon;Podstatné jméno
128;grilovačka;a barbecue;die Grillparty;Podstatné jméno
129;holič;a barber;der Barbier;Podstatné jméno
130;výhodná koupě, smlouvat;a bargain, to negotiate;ein gutes Geschäft machen, verhandeln;Fráze
131;barman;a bartender;der Barkeeper;Podstatné jméno
132;baseball;a baseball;der Baseball;Podstatné jméno
133;suterén, sklep;a basement;die Kellerräume;Podstatné jméno
134;v podstatě;basically;in der Hauptsache;Fráze
135;košík;a basket;der Korb;Podstatné jméno
136;koupelna;a bathroom;die Badezimmer;Podstatné jméno
137;vana;a bathtub;die Badewanne;Podstatné jméno
138;fazole;beans;die Bohnen;Podstatné jméno
139;plnovous;a beard;der Vollbart;Podstatné jméno
140;porazit, zbít;to beat;besiegen  [besiegt, besiegte, wird besiegt];Sloveso
141;krásný;beautiful;schön;Přídavné jméno
142;krása;beauty;die Schönheit;Podstatné jméno
143;stát se;to become;werden [geworden (ist), wurde, wird werden];Sloveso
144;před;before;vor;Předložka
145;zanedlouho;soon;bald;Příslovce
146;prosit;to ask;fragen [gefragt (hat/ist), fragte];Sloveso
147;začít;to begin;beginnen [begun, begann, wird begonnen];Sloveso
148;začátečník;a beginner;der Anfänger;Podstatné jméno
149;chování;behavior;das Verhalten;Podstatné jméno
150;věřit;to believe [believed, believed];glauben [geglaubt, glaubte];Sloveso
151;opasek;a belt;der Gürtel;Podstatné jméno
152;výhoda;a benefit;der Vorteil;Podstatné jméno
153;nejlepší kamarád;best friend;der beste Freund;Fráze
154;velký;big;groß;Přídavné jméno
155;životopis, biografie;a biography;der Lebenslauf;Podstatné jméno
156;biologie;biology;die Biologie;Podstatné jméno
157;hořký;bitter;bitter;Přídavné jméno
158;černý;black;schwarz;Přídavné jméno
159;krvácet;to bleed [bled, bled];bluten [geblutet (hat), blutete];Sloveso
160;mixér;a blender;der Mixer;Podstatné jméno
161;krev;blood;das Blut;Podstatné jméno
162;modrý;blue;blau;Přídavné jméno
163;borůvka;a blueberry;die Blaubeere;Podstatné jméno
164;loď;a boat;das Schiff;Podstatné jméno
165;bomba;a bomb;die Bombe;Podstatné jméno
166;kost;a bone;das Knochen;Podstatné jméno
167;znuděný;bored;gelangweilt;Přídavné jméno
168;nudný;boring;langweilig;Přídavné jméno
169;narozen;to be born;geboren sein;Sloveso
170;půjčit si;to borrow;leihen [geliehen (ist), lieh];Sloveso
171;šéf;a boss;der Chef;Podstatné jméno
172;oba, obě, oboje;both;beide;Zájmeno
173;obtěžovat;to bother [bothered, bothered];belästigen [belästigt, belästiget, wurde belästigt];Sloveso
174;koupil, koupila;to buy [bought, bought];kaufen [gekauft (hat), kaufte];Sloveso
175;mísa;a bowl;die Schüssel;Podstatné jméno
176;mozek;a brain;das Gehirn;Podstatné jméno
177;zbrusu nový;brand new;brandneu;Přídavné jméno
178;odvážný, statečný;brave;mutig;Přídavné jméno
179;chléb;bread;der Brot;Podstatné jméno
180;rozejít se;to break up;sich trennen [getrennt (ist), trennte, wird getrennt];Sloveso
181;snídaně;breakfast;das Frühstück;Podstatné jméno
182;brilantní, skvělý, geniální;brilliant;brillant;Přídavné jméno
183;britský;British;britisch;Přídavné jméno
184;rozbitý;broken;gebrochen;Přídavné jméno
185;hnědý;brown;braun;Přídavné jméno
186;kartáč, štětec;a brush;die Bürste;Podstatné jméno
187;rozpočet;a budget;der Haushalt;Podstatné jméno
188;hromada, spousta;a bunch;die Menge;Podstatné jméno
189;hamburger;a hamburger;der Hamburger;Podstatné jméno
190;podnikání, firma, byznys;a business;die Firma;Podstatné jméno
191;rušný, zaneprázdněný;busy;beschäftigt;Přídavné jméno
192;motýl;a butterfly;der Schmetterling;Podstatné jméno
193;kupovat;to buy [bought, bought];kaufen [gekauft, kaufte];Sloveso
194;taxík;a taxi;der Taxi;Podstatné jméno
195;skříňka;a cabinet;die Kommode;Podstatné jméno
196;kavárna;a café;die Café;Podstatné jméno
197;jídelna;a cafeteria;die Mensa;Podstatné jméno
198;klidný;calm;ruhig;Přídavné jméno
199;kampaň;a campaign;die Kampagne;Podstatné jméno
200;táborák;a campfire;das Lagerfeuer;Podstatné jméno
201;rakovina;cancer;die Krebserkrankung;Podstatné jméno
202;svíčka;a candle;die Kerze;Podstatné jméno
203;cukrovinky;candies;die Süßigkeiten;Podstatné jméno
204;automyčka;a car wash;die Autowaschstraße;Podstatné jméno
205;karetní hra;a card game;das Kartenspiel;Podstatné jméno
206;kariéra;a career;die Karriere;Podstatné jméno
207;opatrný;careful;vorsichtig;Přídavné jméno
208;opatrně;carefully;vorsichtig;Příslovce
209;kreslený film;an animated film;der Animationsfilm;Podstatné jméno
210;chytat;to catch [caught, caught];fangen [gefangen (ist), fing];Sloveso
211;celebrita;a celebrity;die Prominente;Podstatné jméno
212;cereálie;cereals;die Getreide;Podstatné jméno
213;obřad;a ceremony;die Zeremonie;Podstatné jméno
